time	X11	X12	X13	X14	X21	X22	X31	X32	X33	Y1	Y2	Y3
0.0	12.2	350.0	0.0	100.0	350.0	0.0	350.0	0.0	100.0	12.7	47.0	12.2
10.0	12.2	75.00169	0.0	557.69643	75.00169	0.0	75.00169	0.0	557.69643	12.199969	46.984876	12.2
20.0	12.2	75.0	0.0	565.80785	75.0	0.0	75.0	0.0	565.80785	12.19993	46.973292	12.2
30.0	12.2	75.0	0.0	530.62009	75.0	0.0	75.0	0.0	530.62009	12.199893	46.961707	12.2
40.0	12.2	75.0	0.0	484.50339	75.0	0.0	75.0	0.0	484.50339	12.199859	46.950123	12.2
50.0	12.2	75.0	0.0	469.85723	75.0	0.0	75.0	0.0	469.85723	12.199827	46.938538	12.2
60.0	12.2	75.0	0.0	561.99168	75.0	0.0	75.0	0.0	561.99168	12.199791	46.926954	12.2
70.0	12.2	75.0	0.0	609.37216	75.0	0.0	75.0	0.0	609.37216	12.199751	46.91537	12.2
80.0	12.2	75.0	0.0	630.27869	75.0	0.0	75.0	0.0	630.27869	12.199709	46.903785	12.2
90.0	12.2	75.0	0.0	605.49271	75.0	0.0	75.0	0.0	605.49271	12.199667	46.892201	12.2
100.0	12.2	160.36406	0.0	557.80234	160.36406	0.0	160.36406	0.0	557.80234	12.199628	46.877422	12.2
110.0	12.2	200.96087	0.0	504.89157	200.96087	0.0	200.96087	0.0	504.89157	12.199593	46.848964	12.2
120.0	12.2	215.6578	0.0	523.67625	215.6578	0.0	215.6578	0.0	523.67625	12.199559	46.816603	12.2
130.0	12.2	360.60047	0.0	570.72479	360.60047	0.0	360.60047	0.0	570.72479	12.525715	46.773436	12.2
140.0	12.2	260.22739	0.0	602.77981	260.22739	0.0	260.22739	0.0	602.77981	12.498052	46.724227	12.2
150.0	12.2	279.25866	0.0	590.37006	279.25866	0.0	279.25866	0.0	590.37006	12.507104	46.682329	12.2
160.0	12.2	215.16885	0.0	602.94784	215.16885	0.0	215.16885	0.0	602.94784	12.496181	46.643339	12.2
170.0	12.2	299.49942	0.0	566.23049	299.49942	0.0	299.49942	0.0	566.23049	12.527588	46.604194	12.2
180.0	12.2	272.71651	0.0	572.01575	272.71651	0.0	272.71651	0.0	572.01575	12.524087	46.560332	12.2
190.0	12.2	311.58095	0.0	614.98731	311.58095	0.0	311.58095	0.0	614.98731	12.488892	46.515824	12.2
200.0	12.2	338.47636	0.0	655.63733	338.47636	0.0	338.47636	0.0	655.63733	12.454361	46.46529	12.2
210.0	12.2	348.47104	0.0	588.49092	348.47104	0.0	348.47104	0.0	588.49092	12.508993	46.412111	12.2
220.0	12.2	174.45412	0.0	548.86982	174.45412	0.0	174.45412	0.0	548.86982	12.20065	46.369889	12.2
230.0	12.2	75.033218	0.0	505.10339	75.033218	0.0	75.033218	0.0	505.10339	12.199496	46.353459	12.2
240.0	12.2	75.0	0.0	497.4272	75.0	0.0	75.0	0.0	497.4272	12.199463	46.341874	12.2
250.0	12.2	75.0	0.0	532.89869	75.0	0.0	75.0	0.0	532.89869	12.199428	46.33029	12.2
260.0	12.2	75.0	0.0	547.14039	75.0	0.0	75.0	0.0	547.14039	12.199393	46.318705	12.2
270.0	12.2	75.0	0.0	561.38268	75.0	0.0	75.0	0.0	561.38268	12.199355	46.307121	12.2
280.0	12.2	256.70827	0.0	530.76766	256.70827	0.0	256.70827	0.0	530.76766	12.555873	46.283618	12.2
290.0	12.2	355.94683	0.0	483.4412	355.94683	0.0	355.94683	0.0	483.4412	12.595987	46.235077	12.2
300.0	12.2	392.77084	0.0	462.91503	392.77084	0.0	392.77084	0.0	462.91503	12.614268	46.176788	12.2
310.0	12.2	254.98713	0.0	500.01185	254.98713	0.0	254.98713	0.0	500.01185	12.584502	46.125066	12.2
320.0	12.2	165.21684	0.0	547.71121	165.21684	0.0	165.21684	0.0	547.71121	12.199304	46.093721	12.2
330.0	12.2	131.88072	0.0	574.109	131.88072	0.0	131.88072	0.0	574.109	12.199266	46.071198	12.2
340.0	12.2	217.26696	0.0	554.93574	217.26696	0.0	217.26696	0.0	554.93574	12.199227	46.045373	12.2
350.0	12.2	273.89797	0.0	507.81924	273.89797	0.0	273.89797	0.0	507.81924	12.575502	46.006743	12.2
360.0	12.2	294.93234	0.0	556.82592	294.93234	0.0	294.93234	0.0	556.82592	12.535623	45.962546	12.2
370.0	12.2	227.41489	0.0	569.64656	227.41489	0.0	227.41489	0.0	569.64656	12.526225	45.92135	12.2
380.0	12.2	183.14111	0.0	615.23769	183.14111	0.0	183.14111	0.0	615.23769	12.199198	45.890188	12.2
390.0	12.2	166.6988	0.0	651.68669	166.6988	0.0	166.6988	0.0	651.68669	12.199155	45.863379	12.2
400.0	12.2	178.66905	0.0	645.48253	178.66905	0.0	178.66905	0.0	645.48253	12.199111	45.836964	12.2
410.0	12.2	187.72644	0.0	609.50081	187.72644	0.0	187.72644	0.0	609.50081	12.199068	45.808557	12.2
420.0	12.2	191.09556	0.0	569.07369	191.09556	0.0	191.09556	0.0	569.07369	12.199028	45.779258	12.2
430.0	12.2	78.534584	0.0	568.54087	78.534584	0.0	78.534584	0.0	568.54087	12.19899	45.756616	12.2
440.0	12.2	75.000022	0.0	608.39254	75.000022	0.0	75.000022	0.0	608.39254	12.198951	45.744986	12.2
450.0	12.2	75.0	0.0	651.98926	75.0	0.0	75.0	0.0	651.98926	12.198908	45.733402	12.2
460.0	12.2	75.0	0.0	612.93862	75.0	0.0	75.0	0.0	612.93862	12.198866	45.721817	12.2
470.0	12.2	75.0	0.0	577.18407	75.0	0.0	75.0	0.0	577.18407	12.198826	45.710233	12.2
480.0	12.2	75.0	0.0	531.29066	75.0	0.0	75.0	0.0	531.29066	12.198788	45.698649	12.2
490.0	12.2	191.49693	0.0	517.45047	191.49693	0.0	191.49693	0.0	517.45047	12.198753	45.683295	12.2
500.0	12.2	305.7786	0.0	548.38812	305.7786	0.0	305.7786	0.0	548.38812	12.544283	45.643433	12.2
510.0	12.2	347.86379	0.0	644.79095	347.86379	0.0	347.86379	0.0	644.79095	12.463814	45.59242	12.2
520.0	12.2	280.6998	0.0	664.93738	280.6998	0.0	280.6998	0.0	664.93738	12.445843	45.542848	12.2
530.0	12.2	234.64706	0.0	639.43375	234.64706	0.0	234.64706	0.0	639.43375	12.465954	45.503615	12.2
540.0	12.2	217.5351	0.0	591.73021	217.5351	0.0	217.5351	0.0	591.73021	12.505654	45.46891	12.2
550.0	12.2	150.6993	0.0	565.68518	150.6993	0.0	150.6993	0.0	565.68518	12.198717	45.439941	12.2
560.0	12.2	110.47711	0.0	558.21786	110.47711	0.0	110.47711	0.0	558.21786	12.19868	45.420268	12.2
570.0	12.2	75.000407	0.0	605.39738	75.000407	0.0	75.000407	0.0	605.39738	12.198641	45.407947	12.2
580.0	12.2	75.0	0.0	636.82197	75.0	0.0	75.0	0.0	636.82197	12.198599	45.396363	12.2
590.0	12.2	75.0	0.0	623.59877	75.0	0.0	75.0	0.0	623.59877	12.198556	45.384778	12.2
600.0	12.2	75.0	0.0	807.88514	75.0	0.0	75.0	0.0	807.88514	12.198516	45.373194	12.2
610.0	12.2	222.87464	0.0	747.49164	222.87464	0.0	222.87464	0.0	747.49164	12.278998	45.352713	12.2
620.0	12.2	304.68299	0.0	754.11312	304.68299	0.0	304.68299	0.0	754.11312	12.372359	45.310958	12.2
630.0	12.2	335.0324	0.0	797.44468	335.0324	0.0	335.0324	0.0	797.44468	12.336843	45.26117	12.2
640.0	12.2	272.50133	0.0	837.64638	272.50133	0.0	272.50133	0.0	837.64638	12.302666	45.213367	12.2
650.0	12.2	230.46457	0.0	837.75696	230.46457	0.0	230.46457	0.0	837.75696	12.301251	45.17504	12.2
660.0	12.2	214.84843	0.0	762.46287	214.84843	0.0	214.84843	0.0	762.46287	12.36324	45.140847	12.2
670.0	12.2	254.8408	0.0	719.03768	254.8408	0.0	254.8408	0.0	719.03768	12.399936	45.105107	12.2
680.0	12.2	281.36532	0.0	712.19615	281.36532	0.0	281.36532	0.0	712.19615	12.406941	45.063369	12.2
690.0	12.2	291.21728	0.0	748.22675	291.21728	0.0	291.21728	0.0	748.22675	12.377817	45.019024	12.2
700.0	12.2	285.46526	0.0	794.00312	285.46526	0.0	285.46526	0.0	794.00312	12.33934	44.974347	12.2
710.0	12.2	280.92755	0.0	869.32062	280.92755	0.0	280.92755	0.0	869.32062	12.275318	44.93066	12.2
720.0	12.2	279.23892	0.0	838.06558	279.23892	0.0	279.23892	0.0	838.06558	12.300334	44.887421	12.2
730.0	12.2	307.48285	0.0	790.85266	307.48285	0.0	307.48285	0.0	790.85266	12.339824	44.842407	12.2
740.0	12.2	325.32783	0.0	771.092	325.32783	0.0	325.32783	0.0	771.092	12.357478	44.793315	12.2
750.0	12.2	331.95205	0.0	796.95147	331.95205	0.0	331.95205	0.0	796.95147	12.337065	44.74247	12.2
760.0	12.2	305.82958	0.0	805.86072	305.82958	0.0	305.82958	0.0	805.86072	12.329681	44.692896	12.2
770.0	12.2	288.84394	0.0	831.54921	288.84394	0.0	288.84394	0.0	831.54921	12.307183	44.647179	12.2
780.0	12.2	282.53649	0.0	811.6057	282.53649	0.0	282.53649	0.0	811.6057	12.322582	44.603132	12.2
790.0	12.2	140.37111	0.0	764.3644	140.37111	0.0	140.37111	0.0	764.3644	12.198444	44.569092	12.2
800.0	12.2	75.002377	0.0	733.25874	75.002377	0.0	75.002377	0.0	733.25874	12.198393	44.555442	12.2
810.0	12.2	75.0	0.0	760.11772	75.0	0.0	75.0	0.0	760.11772	12.198342	44.543857	12.2
820.0	12.2	126.53668	0.0	805.95088	126.53668	0.0	126.53668	0.0	805.95088	12.19829	44.531841	12.2
830.0	12.2	226.71071	0.0	841.84937	226.71071	0.0	226.71071	0.0	841.84937	12.296891	44.502371	12.2
840.0	12.2	257.10203	0.0	834.80888	257.10203	0.0	257.10203	0.0	834.80888	12.303529	44.464621	12.2
850.0	12.2	328.50718	0.0	791.30241	328.50718	0.0	328.50718	0.0	791.30241	12.339201	44.41986	12.2
860.0	12.2	370.32859	0.0	702.31748	370.32859	0.0	370.32859	0.0	702.31748	12.41404	44.365372	12.2
870.0	12.2	385.83778	0.0	702.62692	385.83778	0.0	385.83778	0.0	702.62692	12.415107	44.306777	12.2
880.0	12.2	359.70977	0.0	742.93652	359.70977	0.0	359.70977	0.0	742.93652	12.382261	44.248806	12.2
890.0	12.2	341.87642	0.0	786.18358	341.87642	0.0	341.87642	0.0	786.18358	12.345703	44.194843	12.2
900.0	12.2	335.25037	0.0	792.60697	335.25037	0.0	335.25037	0.0	792.60697	12.339045	44.142633	12.2
910.0	12.2	209.28622	0.0	775.91941	209.28622	0.0	209.28622	0.0	775.91941	12.33046	44.099365	12.2
920.0	12.2	131.04528	0.0	730.26457	131.04528	0.0	131.04528	0.0	730.26457	12.19819	44.074048	12.2
930.0	12.2	75.456608	0.0	717.2347	75.456608	0.0	75.456608	0.0	717.2347	12.198142	44.057674	12.2
940.0	12.2	362.33051	0.0	748.8103	362.33051	0.0	362.33051	0.0	748.8103	12.377274	44.020518	12.2
950.0	12.2	329.2231	0.0	795.9609	329.2231	0.0	329.2231	0.0	795.9609	12.337824	43.971888	12.2
960.0	12.2	371.46924	0.0	873.56101	371.46924	0.0	371.46924	0.0	873.56101	12.271967	43.91724	12.2
970.0	12.2	382.71669	0.0	847.35037	382.71669	0.0	382.71669	0.0	847.35037	12.292678	43.858755	12.2
980.0	12.2	385.74434	0.0	799.64861	385.74434	0.0	385.74434	0.0	799.64861	12.3324	43.799368	12.2
990.0	12.2	386.84931	0.0	774.31516	386.84931	0.0	386.84931	0.0	774.31516	12.354609	43.739687	12.2
1000.0	12.2	318.164	0.0	794.64146	318.164	0.0	318.164	0.0	794.64146	12.338887	43.68345	12.2
1010.0	12.2	343.00813	0.0	832.3733	343.00813	0.0	343.00813	0.0	832.3733	12.307659	43.632103	12.2
1020.0	12.2	352.38317	0.0	863.15717	352.38317	0.0	352.38317	0.0	863.15717	12.281024	43.57828	12.2
1030.0	12.2	303.86465	0.0	849.12467	303.86465	0.0	303.86465	0.0	849.12467	12.291439	43.527031	12.2
1040.0	12.2	272.59468	0.0	803.17678	272.59468	0.0	272.59468	0.0	803.17678	12.329331	43.482897	12.2
1050.0	12.2	260.98413	0.0	767.55778	260.98413	0.0	260.98413	0.0	767.55778	12.359861	43.441836	12.2
1060.0	12.2	288.62213	0.0	743.3688	288.62213	0.0	288.62213	0.0	743.3688	12.381332	43.399766	12.2
1070.0	12.2	307.0305	0.0	787.04533	307.0305	0.0	307.0305	0.0	787.04533	12.345508	43.353538	12.2
1080.0	12.2	313.86824	0.0	826.78611	313.86824	0.0	313.86824	0.0	826.78611	12.311695	43.305499	12.2
1090.0	12.2	378.5576	0.0	826.05221	378.5576	0.0	378.5576	0.0	826.05221	12.310983	43.252618	12.2
1100.0	12.2	372.97637	0.0	785.51838	372.97637	0.0	372.97637	0.0	785.51838	12.344026	43.19102	12.2
1110.0	12.2	367.6933	0.0	775.94391	367.6933	0.0	367.6933	0.0	775.94391	12.352534	43.134807	12.2
1120.0	12.2	364.7419	0.0	769.94071	364.7419	0.0	364.7419	0.0	769.94071	12.358844	43.078107	12.2
1130.0	12.2	361.70117	0.0	806.51912	361.70117	0.0	361.70117	0.0	806.51912	12.329245	43.022042	12.2
1140.0	12.2	360.56696	0.0	852.05065	360.56696	0.0	360.56696	0.0	852.05065	12.29095	42.966276	12.2
1150.0	12.2	329.31901	0.0	864.67382	329.31901	0.0	329.31901	0.0	864.67382	12.279166	42.912691	12.2
1160.0	12.2	309.86135	0.0	849.49006	309.86135	0.0	309.86135	0.0	849.49006	12.290805	42.863568	12.2
1170.0	12.2	302.63983	0.0	802.40623	302.63983	0.0	302.63983	0.0	802.40623	12.330211	42.816356	12.2
1180.0	12.2	236.59293	0.0	783.41727	236.59293	0.0	236.59293	0.0	783.41727	12.347231	42.774107	12.2
1190.0	12.2	195.92486	0.0	809.98232	195.92486	0.0	195.92486	0.0	809.98232	12.1981	42.741206	12.2
1200.0	12.2	213.04618	0.0	857.67758	213.04618	0.0	213.04618	0.0	857.67758	12.198043	42.708969	12.2
1210.0	12.2	259.97041	0.0	904.13668	259.97041	0.0	259.97041	0.0	904.13668	12.246669	42.673059	12.2
1220.0	12.2	291.03786	0.0	883.43014	291.03786	0.0	291.03786	0.0	883.43014	12.262713	42.630122	12.2
1230.0	12.2	302.57697	0.0	836.07883	302.57697	0.0	302.57697	0.0	836.07883	12.301968	42.584132	12.2
1240.0	12.2	320.51045	0.0	805.6183	320.51045	0.0	320.51045	0.0	805.6183	12.328342	42.536095	12.2
1250.0	12.2	330.64274	0.0	820.05382	330.64274	0.0	330.64274	0.0	820.05382	12.317587	42.485681	12.2
1260.0	12.2	334.39838	0.0	750.45966	334.39838	0.0	334.39838	0.0	750.45966	12.375968	42.434273	12.2
1270.0	12.2	291.59495	0.0	785.79113	291.59495	0.0	291.59495	0.0	785.79113	12.34567	42.385466	12.2
1280.0	12.2	264.43737	0.0	777.91653	264.43737	0.0	264.43737	0.0	777.91653	12.35092	42.342859	12.2
1290.0	12.2	254.35571	0.0	734.07049	254.35571	0.0	254.35571	0.0	734.07049	12.386896	42.30292	12.2
1300.0	12.2	264.45917	0.0	694.56485	264.45917	0.0	264.45917	0.0	694.56485	12.420523	42.263039	12.2
1310.0	12.2	271.74329	0.0	711.71334	271.74329	0.0	271.74329	0.0	711.71334	12.407557	42.221539	12.2
1320.0	12.2	274.45139	0.0	752.46896	274.45139	0.0	274.45139	0.0	752.46896	12.374319	42.179322	12.2
1330.0	12.2	322.57557	0.0	795.35282	322.57557	0.0	322.57557	0.0	795.35282	12.338043	42.133676	12.2
1340.0	12.2	352.45046	0.0	800.93842	352.45046	0.0	352.45046	0.0	800.93842	12.332079	42.081175	12.2
1350.0	12.2	363.53782	0.0	764.09039	363.53782	0.0	363.53782	0.0	764.09039	12.361911	42.02574	12.2
1360.0	12.2	403.63824	0.0	747.32763	403.63824	0.0	403.63824	0.0	747.32763	12.376244	41.966803	12.2
1370.0	12.2	363.05909	0.0	735.11345	363.05909	0.0	363.05909	0.0	735.11345	12.38769	41.907511	12.2
1380.0	12.2	370.59144	0.0	767.31711	370.59144	0.0	370.59144	0.0	767.31711	12.36186	41.850758	12.2
1390.0	12.2	209.85791	0.0	814.332	209.85791	0.0	209.85791	0.0	814.332	12.203508	41.805407	12.2
1400.0	12.2	213.03738	0.0	832.93286	213.03738	0.0	213.03738	0.0	832.93286	12.305798	41.769223	12.2
1410.0	12.2	168.16446	0.0	800.82815	168.16446	0.0	168.16446	0.0	800.82815	12.198	41.733594	12.2
1420.0	12.2	277.54117	0.0	753.14289	277.54117	0.0	277.54117	0.0	753.14289	12.371166	41.693698	12.2
1430.0	12.2	360.01322	0.0	728.52895	360.01322	0.0	360.01322	0.0	728.52895	12.392788	41.644774	12.2
1440.0	12.2	400.14177	0.0	749.61604	400.14177	0.0	400.14177	0.0	749.61604	12.376423	41.58556	12.2
1450.0	12.2	328.04473	0.0	797.01679	328.04473	0.0	328.04473	0.0	797.01679	12.337115	41.532225	12.2
1460.0	12.2	392.34088	0.0	817.9826	392.34088	0.0	392.34088	0.0	817.9826	12.318645	41.476835	12.2
1470.0	12.2	360.43971	0.0	803.14478	360.43971	0.0	360.43971	0.0	803.14478	12.329738	41.416108	12.2
1480.0	12.2	347.59719	0.0	756.97703	347.59719	0.0	347.59719	0.0	756.97703	12.367836	41.361141	12.2
1490.0	12.2	337.59017	0.0	721.92536	337.59017	0.0	337.59017	0.0	721.92536	12.397911	41.308347	12.2
1500.0	12.2	333.8641	0.0	730.21611	333.8641	0.0	333.8641	0.0	730.21611	12.392313	41.256538	12.2
1510.0	12.2	287.11428	0.0	830.08669	287.11428	0.0	287.11428	0.0	830.08669	12.30964	41.208141	12.2
1520.0	12.2	258.19667	0.0	869.35664	258.19667	0.0	258.19667	0.0	869.35664	12.276199	41.166384	12.2
1530.0	12.2	247.46507	0.0	867.77849	247.46507	0.0	247.46507	0.0	867.77849	12.276189	41.127468	12.2
1540.0	12.2	279.98594	0.0	826.80573	279.98594	0.0	279.98594	0.0	826.80573	12.309617	41.087151	12.2
1550.0	12.2	301.36813	0.0	784.10852	301.36813	0.0	301.36813	0.0	784.10852	12.345749	41.04199	12.2
1560.0	12.2	309.30926	0.0	681.16334	309.30926	0.0	309.30926	0.0	681.16334	12.432846	40.994727	12.2
1570.0	12.2	238.17969	0.0	718.27366	238.17969	0.0	238.17969	0.0	718.27366	12.402789	40.951662	12.2
1580.0	12.2	192.88838	0.0	763.54608	192.88838	0.0	192.88838	0.0	763.54608	12.197942	40.91893	12.2
1590.0	12.2	207.44325	0.0	775.35291	207.44325	0.0	207.44325	0.0	775.35291	12.197889	40.886443	12.2
1600.0	12.2	197.41904	0.0	742.839	197.41904	0.0	197.41904	0.0	742.839	12.197838	40.855241	12.2
1610.0	12.2	193.02458	0.0	721.34428	193.02458	0.0	193.02458	0.0	721.34428	12.197788	40.825142	12.2
1620.0	12.2	191.40232	0.0	703.13414	191.40232	0.0	191.40232	0.0	703.13414	12.19774	40.795473	12.2
1630.0	12.2	274.73754	0.0	730.39643	274.73754	0.0	274.73754	0.0	730.39643	12.392551	40.760327	12.2
1640.0	12.2	327.07077	0.0	778.06749	327.07077	0.0	327.07077	0.0	778.06749	12.35282	40.713203	12.2
1650.0	12.2	346.49585	0.0	802.31877	346.49585	0.0	346.49585	0.0	802.31877	12.331493	40.660939	12.2
1660.0	12.2	395.77737	0.0	800.3237	395.77737	0.0	395.77737	0.0	800.3237	12.331954	40.603947	12.2
